name,team,battingStyle,bowlingStyle,playingRole,description,InningsBatted,Runs,BallsFaced,Fours,Sixes,Dismissals,BattingPosAvg,InningsBowled,OversBowled,ballsBowled,RunsConceded,Wickets,DotBalls,BattingAverage,StrikeRate,BoundaryPercent,AvgBallsFaced,BowlingAverage,Economy,BowlingStrikeRate,DotBallPercent
Luke Jongwe,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,,4.0,55.0,41.0,6.0,1.0,3.0,8.0,3.0,5.0,30.0,59.0,2.0,6.0,18.333333333333332,134.14634146341464,54.54545454545454,10.25,29.5,11.8,15.0,20.0
Lungi Ngidi,South Africa,Right hand Bat,Right arm Fast medium,Bowler,"A tall, imposing paceman, Lungi Ngidi can reach speeds in the 140s kph and is as comfortable opening the bowling as he is at the death, making him one of South Africa's most promising prospects. Ngidi was schooled at Kwa-Zulu Natal's Hilton College and was involved at every provincial age-group level from Under-13 upwards. ",1.0,4.0,1.0,1.0,0.0,0.0,10.0,4.0,13.0,78.0,116.0,7.0,30.0,0.0,400.0,100.0,1.0,16.571428571428573,8.923076923076923,11.142857142857142,38.46153846153847
Maheesh Theekshana,Sri Lanka,Right hand Bat,Right arm Offbreak,Bowler,,3.0,11.0,14.0,0.0,1.0,1.0,9.666666666666666,8.0,30.1,181.0,202.0,9.0,71.0,11.0,78.57142857142857,54.54545454545454,4.666666666666667,22.444444444444443,6.710963455149502,20.11111111111111,39.226519337016576
Marcus Stoinis,Australia,Right hand Bat,Right arm Medium,Batting Allrounder,"A powerful, versatile batter and medium-pace bowler, Marcus Stoinis has become a mainstay in Australia's limited-overs sides as well as a dominant player in the BBL and a sought-after player in the IPL. ",4.0,126.0,78.0,7.0,9.0,3.0,5.0,4.0,9.0,54.0,87.0,1.0,8.0,42.0,161.53846153846155,65.07936507936508,19.5,87.0,9.666666666666666,54.0,14.814814814814813
Mark Adair,Ireland,Right hand Bat,Right arm Fast medium,Bowling Allrounder,"Mark Adair is a tall, seam-bowling allrounder from Northern Ireland who made his first-class debut for Warwickshire while still a teenager at the end of the 2015 season. From a sporting family - his father was a goalkeeper at a decent level and his brother plays rugby and represented Ireland at cricket at age-group level - Adair also showed promise in rugby but committed to cricket having been offered a trial by Warwickshire in 2013. He has represented Ireland at age-group and A team level and claimed the wicket of Marcus Trescothick as his maiden victim in first-class cricket. He was released by Warwickshire at the end of the 2017 season and has since played for Northern Knights and Durham's second team.

George Dobell",5.0,28.0,31.0,1.0,1.0,5.0,8.2,7.0,24.0,144.0,212.0,4.0,52.0,5.6,90.32258064516128,35.714285714285715,6.2,53.0,8.833333333333334,36.0,36.11111111111111
Mark Watt,Scotland,Left hand Bat,Slow Left arm Orthodox,Bowler,"Mark Watt drew attention to himself in no uncertain terms when he took three wickets at The Grange as Scotland overturned England, who were top of the worlds rankings at the time, in an ODI for the first time.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,72.0,70.0,5.0,35.0,0.0,0.0,0.0,0.0,14.0,5.833333333333333,14.4,48.61111111111111
Mark Wood,England,Right hand Bat,Right arm Fast,Bowler,"It looked, for a while, as if Mark Wood would be another of those fast bowlers who promised more than they delivered.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,84.0,108.0,9.0,43.0,0.0,0.0,0.0,0.0,12.0,7.714285714285714,9.333333333333334,51.19047619047619
Matthew Cross,Scotland,Right hand Bat,,Wicketkeeper Batter,"A wicketkeeper-batter from Aberdeen, Matthew Cross got into the Scotland set-up at U-13 level, progressed up the ranks, making a good impression as vice-captain for the U-19s in the 2012 World Cup in Australia, and then broke into the senior side the following year.",3.0,32.0,33.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.666666666666666,96.96969696969697,62.5,11.0,0.0,0.0,0.0,0.0
Matthew Wade,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter,It has been a career of reinvention for Matthew Wade as he went from Test wicketkeeper to specialist middle-order batsman to T20I World Cup winning wicketkeeper/finisher via a prolific run in domestic cricket when it appeared his international days were over.,3.0,15.0,15.0,2.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,100.0,53.333333333333336,5.0,0.0,0.0,0.0,0.0
Max O'Dowd,Netherlands,Right hand Bat,Right arm Offbreak,Opening Batter,,8.0,242.0,215.0,22.0,8.0,7.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,34.57142857142857,112.55813953488372,56.19834710743802,26.875,0.0,0.0,0.0,0.0
Mehidy Hasan Miraz,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder,"Mehedi Hasan Miraz has emerged as one of the brightest young stars in Bangladesh cricket. He led the country to their first appearance in an Under-19 World Cup semi-final in February 2016, before making the year more memorable with his Test debut, against England in October.",1.0,11.0,13.0,0.0,0.0,1.0,6.0,1.0,3.0,18.0,32.0,0.0,4.0,11.0,84.61538461538461,0.0,13.0,0.0,10.666666666666666,0.0,22.22222222222222
Michael Jones,Scotland,Right hand Bat,Right arm Offbreak,Top order Batter,Durham Academy youngster Michael Jones hit 87 in a fine debut for Scotland against Ireland in Dubai as his more experienced team-mates toiled. That breakthrough was followed by a first team debut for Durham against Derbyshire at Chesterfield in June of that year.,3.0,110.0,77.0,10.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,36.666666666666664,142.85714285714286,58.18181818181818,25.666666666666668,0.0,0.0,0.0,0.0
Michael Leask,Scotland,Right hand Bat,Right arm Offbreak,Allrounder,"Michael Leask is an explosive batsman from Aberdeen. He showed as much when he smeared five sixes during a memorable 16-ball 42 in an ODI against England in May 2014. But he has been hampered by inconsistency, and he only mustered 56 runs at an average of 9.33 during the World Cup Qualifiers in 2014. Leask also bowls useful off-spin, taking three wickets in Scotland's win over Tasmania in their World Cup acclimatisation tour in autumn 2014.
Leask played a solitary first-class game for Northants in a tour match against New Zealand A in 2014. He moved on to Somerset ahead of the 2016 season with Somerset's director of cricket Matt Maynard describing him as a ""feisty cricketer"". A scattering of T20 matches were his only outings in his debut season.

ESPNcricinfo staff",3.0,33.0,28.0,4.0,0.0,2.0,5.666666666666667,3.0,10.0,60.0,67.0,4.0,17.0,16.5,117.85714285714286,48.484848484848484,9.333333333333334,16.75,6.7,15.0,28.333333333333332
Michael Van Lingen,Namibia,Left hand Bat,Left arm Medium,Bowling Allrounder,,3.0,33.0,33.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,100.0,48.484848484848484,11.0,0.0,0.0,0.0,0.0
Milton Shumba,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Top order Batter,,7.0,65.0,82.0,5.0,0.0,6.0,5.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,10.833333333333334,79.26829268292683,30.76923076923077,11.714285714285714,0.0,0.0,0.0,0.0
Mitchell Marsh,Australia,Right hand Bat,Right arm Medium,Allrounder,"Part of one of the most well-known family names in Australian cricket, Mitchell Marsh, an allrounder who can hit 140kph and hard-hitting middle-order batsman, has been an alluring prospect for Australia in all three formats but has struggled to cement his place at international level despite some outstanding performances on the big stage.",4.0,106.0,81.0,8.0,6.0,4.0,3.0,1.0,1.0,6.0,14.0,0.0,1.0,26.5,130.8641975308642,64.15094339622641,20.25,0.0,14.0,0.0,16.666666666666664
Mitchell Santner,New Zealand,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"A left-handed batsman and left-arm spinner, Mitchell Santner was first elevated to the New Zealand side after a promising 2014-15 domestic season. ",3.0,27.0,16.0,0.0,2.0,1.0,7.0,5.0,20.0,120.0,129.0,9.0,49.0,27.0,168.75,44.44444444444444,5.333333333333333,14.333333333333334,6.45,13.333333333333334,40.833333333333336
Mitchell Starc,Australia,Left hand Bat,Left arm Fast,Bowler,"First there was Johnson, then there was Starc. A left-armer called Mitchell has been a staple of Australia's attack for more than a decade and seems set to remain so for the foreseeable future. While Johnson was more express, Starc is still quick enough to make life uncomfortable for opposition batsmen, especially with the bounce gained from his 1.96m height - and boasts greater control of swing than his former colleague. Never was that shown to greater effect than during the 2015 World Cup, when Starc was at times unplayable, his inswingers rattling stumps and trapping batsmen in front throughout the competition. Not surprisingly he was named Player of the Tournament for his 22 victims at 10.18, and four years later he would claim 27 wickets at the World Cup in England when Australia's defence ended in the semi-finals.",1.0,4.0,7.0,0.0,0.0,1.0,9.0,3.0,12.0,72.0,102.0,3.0,29.0,4.0,57.14285714285714,0.0,7.0,34.0,8.5,24.0,40.27777777777778
Moeen Ali,England,Left hand Bat,Right arm Offbreak,Batting Allrounder,"Moeen Ali was tipped for the top long before he won his Test debut at the start of 2014. But, after building a reputation as an elegant batter, it was his offspin bowling that earned him the call-up when England were left reeling from the surprise retirement of Graeme Swann.",5.0,57.0,46.0,6.0,1.0,3.0,5.6,2.0,2.0,12.0,9.0,0.0,4.0,19.0,123.91304347826086,52.63157894736842,9.2,0.0,4.5,0.0,33.33333333333333
Mohammad Haris,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,,4.0,97.0,67.0,6.0,6.0,4.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,24.25,144.77611940298507,61.855670103092784,16.75,0.0,0.0,0.0,0.0
Mohammad Nabi,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder,"Mohammad Nabi hails from a well-to-do family that moved to Peshawar in Pakistan, seeking a safe haven from the Soviet War in Afghanistan. An efficient allrounder - a strong middle-order batsman who can bowl flighted offspin - Nabi's rise, like Afghanistan's, has been staggering. He has been at the centre of the side since their time in the ICC's World Cricket League Division Five, from where Afghanistan began their rise to the international stage.",3.0,17.0,15.0,1.0,0.0,3.0,5.666666666666667,3.0,6.0,36.0,46.0,1.0,9.0,5.666666666666667,113.33333333333333,23.52941176470588,5.0,46.0,7.666666666666667,36.0,25.0
Mohammad Nawaz,Pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Mohammad Nawaz started out in cricket at the age of 14 as a left-arm medium-fast bowler and a middle-order batsman. An all-round performance of 60 runs and a four-for for Rawalpindi against Sialkot in an inter-region Under-16 tournament in 2008 earned him a place in the Pakistan side for the International Under-15 Championship in the West Indies. On the slow pitches of the Caribbean, he changed his bowling style to left-arm spin and transformed into a spin-bowling allrounder, with help from  coach Ameer Akbar and team manager Haroon Rashid. ",5.0,68.0,64.0,7.0,2.0,5.0,6.0,4.0,9.0,54.0,67.0,3.0,17.0,13.6,106.25,58.82352941176471,12.8,22.333333333333332,7.444444444444445,18.0,31.48148148148148
Mohammad Rizwan,Pakistan,Right hand Bat,,Wicketkeeper Batter,"For several years, it appeared Mohammad Rizwan's international career would only happen in a parallel universe, racking up domestic runs even as he struggled to get a game in the national side. But for someone who played an international for the first time in two years in January 2019, Mohammad Rizwan was spoken of remarkably frequently. Most often, he was used as a stick to threaten current first-choice Pakistan wicketkeeper and captain Sarfaraz Ahmed, but the Peshawar native had qualities of his own that suggested he might have been unfortunate not to play for Pakistan more often. ",7.0,175.0,160.0,15.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,109.375,44.57142857142857,22.857142857142858,0.0,0.0,0.0,0.0
Mohammad Wasim,Pakistan,Right hand Bat,Right arm Fast medium,Allrounder,,3.0,16.0,22.0,2.0,0.0,2.0,8.0,6.0,17.0,102.0,124.0,8.0,42.0,8.0,72.72727272727273,50.0,7.333333333333333,15.5,7.294117647058823,12.75,41.17647058823529
Mohammed Shami,India,Right hand Bat,Right arm Fast,Bowler,"Mohammed Shami was India's leading fast bowler in the 2015 World Cup in Australia, when the team marched into the semi-finals and picked up 77 out of 80 wickets on offer. It was later revealed that he had played through that entire tournament - and the preceding Test series against the hosts, essentially four months - through a knee injury. His success can be attributed to his pace, accuracy and primarily his skill in moving the ball - both old and new. ",1.0,0.0,2.0,0.0,0.0,1.0,10.0,6.0,20.0,120.0,143.0,6.0,60.0,0.0,0.0,0.0,2.0,23.833333333333332,7.15,20.0,50.0
Mosaddek Hossain,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter,"Mosaddek Hossain, who comes from a family of cricketers, snuck up on Bangladesh cricket's consciousness during the 2013 Dhaka Premier Division Cricket League, helping Abahani Limited stay afloat in a disastrous campaign. He struck a century and three fifties, before having to head to the Bangladesh Under-19 training camp ahead of the 2014 World Cup in the UAE. The opportunity to get out of age-group cricket quite early proved to be an important milestone in his development. ",5.0,38.0,39.0,2.0,2.0,4.0,6.8,3.0,7.0,42.0,64.0,2.0,16.0,9.5,97.43589743589743,52.63157894736842,7.8,32.0,9.142857142857142,21.0,38.095238095238095
Muhammad Waseem,U.A.E.,Right hand Bat,Right arm Medium,Opening Batter,,3.0,93.0,92.0,2.0,5.0,3.0,1.3333333333333333,1.0,2.0,12.0,16.0,1.0,3.0,31.0,101.08695652173914,40.86021505376344,30.666666666666668,16.0,8.0,12.0,25.0
Mujeeb Ur Rahman,Afghanistan,Right hand Bat,Right arm Offbreak,Bowler,"He can bowl traditional offspin and mix it up with legspin and ripping googlies to make what Afghanistan coach Andy Moles terms a ""complete package"". At just 16, Mujeeb wants to follow in the footsteps of Rashid Khan, his senior by two years. There's plenty of hype surrounding him too, supported by the weight of his performances. ",2.0,1.0,3.0,0.0,0.0,2.0,9.0,3.0,12.0,72.0,88.0,4.0,27.0,0.5,33.33333333333333,0.0,1.5,22.0,7.333333333333333,18.0,37.5
Mustafizur Rahman,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler,"Mustafizur Rahman is a left-arm pace bowler who came to Dhaka to try out for a fast-bowling camp in 2012, after he had impressed in an Under-17 tournament in Satkhira, some 300km from Dhaka. He got admitted to the BCB's pace foundation and soon caught the coaches' attention to make the Bangladesh Under-19 side for the 2014 World Cup. ",2.0,9.0,4.0,0.0,1.0,0.0,10.5,5.0,20.0,120.0,112.0,3.0,49.0,0.0,225.0,66.66666666666666,2.0,37.333333333333336,5.6,40.0,40.833333333333336
Najibullah Zadran,Afghanistan,Left hand Bat,Right arm Offbreak,Middle order Batter,"Najibullah Zadran packs a punch with his bellicose left-hand batting, despite his slight frame. He has followed the same tried and tested route to the national side as many of his generation that came after the initial Afghan cricketing pioneers, with age-group cricket preparing him for the big stage. His ODI debut, against Ireland in Dublin in 2012, was possibly a little premature but Zadran's batting turned a corner in 2014 and he started to look more at home. In July, his second-innings 99 helped Afghanistan beat a strong Zimbabwe A side in an unofficial Test, and in November his unbeaten 32-ball 60 helped set up a 54-run win over Pakistan A in a Twenty match. He started 2015 well with a maiden ODI fifty, a boundary-laden 83 against Ireland, and cruised into Afghanistan's World Cup squad.Liam Brickhill",3.0,31.0,29.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.333333333333334,106.89655172413792,32.25806451612903,9.666666666666666,0.0,0.0,0.0,0.0
Najmul Hossain Shanto,Bangladesh,Left hand Bat,Right arm Offbreak,Top order Batter,"Nazmul Hossain Shanto emerged from an unusual source in Bangladesh cricket - the schools. A double-century in a school one-day match in Rajshahi grabbed the attention of age-group scouts, who quickly drafted the left-hander into Bangladesh's Under-17s. Soon, he graduated to the Under-19s in 2013, and went on to play two World Cups at that level, in 2014 and 2016.",5.0,180.0,157.0,20.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,114.64968152866241,51.11111111111111,31.4,0.0,0.0,0.0,0.0
Naseem Shah,Pakistan,Right hand Bat,Right arm Fast,Bowler,"Zarai Taraqiati Bank Limited may not be an esteemed name in Pakistan cricket, but it was for this deparment that Naseem Shah made his first-class debut at 15. With a natural, whippy action that generated easy pace, he immediately stood out even in that most competitive of fields - Pakistani fast bowling. A year later, he was making his Pakistan debut in Brisbane, though not before adversity touched him; he would lose his mother just before he received his first Pakistan cap. ",1.0,5.0,3.0,0.0,0.0,0.0,9.0,7.0,26.0,156.0,162.0,3.0,74.0,0.0,166.66666666666669,0.0,3.0,54.0,6.230769230769231,52.0,47.43589743589743
Nasum Ahmed,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler,,1.0,7.0,6.0,1.0,0.0,1.0,9.0,1.0,4.0,24.0,14.0,1.0,13.0,7.0,116.66666666666667,57.14285714285714,6.0,14.0,3.5,24.0,54.166666666666664
Naveen-Ul-Haq,Afghanistan,Right hand Bat,Right arm Medium fast,Bowler,,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,4.0,24.0,21.0,3.0,11.0,0.0,0.0,0.0,0.0,7.0,5.25,8.0,45.83333333333333
Nicholas Pooran,West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Nicholas Pooran confirmed his status as one of the most exciting young batting talents in the modern game with a sublime innings of 118 off 103 in West Indies' defeat to Sri Lanka at the 2019 World Cup, but only four years earlier the idea that he would play international cricket seemed fanciful.",3.0,25.0,29.0,0.0,1.0,3.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,86.20689655172413,24.0,9.666666666666666,0.0,0.0,0.0,0.0
Nurul Hasan,Bangladesh,Right hand Bat,,Wicketkeeper Batter,"Nurul Hasan, who made his first-class debut in 2011, is one of a whole host of talented Bangladesh wicketkeepers who had to wait his turn to play international cricket. It wasn't entirely his fault though. For 30 years, the position behind the stumps was the domain of Khaled Mashud or Mushfiqur Rahim. ",5.0,41.0,42.0,2.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,97.61904761904762,34.146341463414636,8.4,0.0,0.0,0.0,0.0
Obed Mccoy,West Indies,Left hand Bat,Left arm Fast medium,Bowler,,1.0,2.0,3.0,0.0,0.0,0.0,11.0,3.0,9.3,57.0,71.0,1.0,26.0,0.0,66.66666666666666,0.0,3.0,71.0,7.634408602150537,57.0,45.614035087719294
Odean Smith,West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder,,3.0,25.0,22.0,1.0,2.0,1.0,8.666666666666666,3.0,9.0,54.0,85.0,2.0,18.0,25.0,113.63636363636364,64.0,7.333333333333333,42.5,9.444444444444445,27.0,33.33333333333333
Pat Cummins,Australia,Right hand Bat,Right arm Fast,Bowler,"Earmarked as a potential star from a young age, Pat Cummins made his Test debut as an 18-year-old but had to wait six years for his next appearance as injuries struck a body that could not withstand the workload. The bowler who emerged in 2017 was a thoroughbred quick who became one of the standout players in the world and, in late 2021, Australia's Test captain in dramatic circumstances.",2.0,21.0,20.0,2.0,1.0,2.0,8.0,4.0,16.0,96.0,132.0,3.0,46.0,10.5,105.0,66.66666666666666,10.0,44.0,8.25,32.0,47.91666666666667
Pathum Nissanka,Sri Lanka,Right hand Bat,,Top order Batter,,7.0,214.0,196.0,13.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.571428571428573,109.18367346938776,46.728971962616825,28.0,0.0,0.0,0.0,0.0
Paul Stirling,Ireland,Right hand Bat,Right arm Offbreak,Batting Allrounder,"Paul Stirling has long been recognised as a formidable cricketing talent both in Ireland and beyond. Before his 23rd birthday, he had already hit two ODI centuries against Pakistan. With a natural swagger and belligerence allied to a portly build, Stirling has evoked comparisons with Jesse Ryder. He generates huge power with seemingly little effort and is particularly strong lashing the ball straight or pulling the ball over midwicket. ",7.0,170.0,127.0,16.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.333333333333332,133.85826771653544,58.82352941176471,18.142857142857142,0.0,0.0,0.0,0.0
Paul Van Meekeren,Netherlands,Right hand Bat,Right arm Fast medium,Bowler,"Paul van Meekeren drew attention to himself during the World Twenty20 qualifiers in 2016 when he produced a spell of 4 for 11 against Ireland. A trial match at Taunton Vale, plus the success of his Dutch compatriot Timm van der Gugten at Glamorgan, was enough for Somerset to offer him a short-term deal midway through the 21016 season which they extended to a two-year deal until the end of the 2018 season. He made his Somerset first-class debut against the Pakistan tourists and followed up with T20 and List-A debuts for the Club in the same season, catching the eye in a NatWest T20 Blast fixture at Cardiff where he bowled with genuine pace. The following season, in his sole Championship appearance, he took four wickets on debut against Essex at Chelmsford.

ESPNcricinfo staff",4.0,45.0,27.0,6.0,1.0,3.0,10.75,8.0,31.0,186.0,198.0,11.0,85.0,15.0,166.66666666666669,66.66666666666666,6.75,18.0,6.387096774193548,16.90909090909091,45.69892473118279
Phil Salt,England,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Phil Salt's fearless ball-striking at the top of the Sussex order earned him attention from across the global T20 circuit and a maiden England call-up in 2019, though he was made to wait until 2021 for his debut when he performed a passable impression of Jason Roy in the Covid-hit ODI series against Pakistan.",1.0,10.0,9.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,111.11111111111111,80.0,9.0,0.0,0.0,0.0,0.0
Pramod Madushan,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler,,2.0,1.0,1.0,0.0,0.0,1.0,9.0,3.0,10.0,60.0,75.0,3.0,25.0,1.0,100.0,0.0,0.5,25.0,7.5,20.0,41.66666666666667
Quinton De Kock,South Africa,Left hand Bat,,Wicketkeeper Batter,"Quinton de Kock's fearless striking and handy glovework earned him comparisons to greats of the game like Adam Gilchrist and Mark Boucher early in his career. By 21, he shared the record for the most successive ODI centuries - three - before it was bettered by Kumar Sangakkara. A year later, he had established himself in all three formats for South Africa. ",5.0,124.0,77.0,16.0,5.0,4.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,31.0,161.03896103896105,75.80645161290323,15.4,0.0,0.0,0.0,0.0
Rahmanullah Gurbaz,Afghanistan,Right hand Bat,,Wicketkeeper Batter,,3.0,68.0,50.0,4.0,5.0,3.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,22.666666666666668,136.0,67.64705882352942,16.666666666666668,0.0,0.0,0.0,0.0
Rashid Khan,Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder,"Rashid Khan has been Afghanistan's first global superstar, and the key to their successes in their early years in international cricket. His extraordinarily effective legspin has made him one of the greatest T20 bowlers ever, among the first names on wishlists of teams in leagues all around the world. ",3.0,57.0,32.0,4.0,4.0,2.0,7.666666666666667,3.0,12.0,72.0,77.0,4.0,29.0,28.5,178.125,70.17543859649122,10.666666666666666,19.25,6.416666666666667,18.0,40.27777777777778
Ravichandran Ashwin,India,Right hand Bat,Right arm Offbreak,Bowling Allrounder,"R Ashwin took the tricks and skills he learned playing tennis-ball cricket on the streets of Chennai, particularly the soduku ball, a finger-flicked legbreak, to Test cricket, where he became perhaps the leading offspinner of the first quarter of the 21st century.",4.0,21.0,18.0,1.0,1.0,1.0,7.75,6.0,19.0,114.0,155.0,6.0,41.0,21.0,116.66666666666667,47.61904761904761,4.5,25.833333333333332,8.157894736842104,19.0,35.96491228070175
Regis Chakabva,Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"A doughty wicketkeeper-batsman, Regis Chakabva's path in cricket took him through Highfields, Churchill, on to Takashinga, provincial cricket and eventually regular appearances in Zimbabwe's Twenty20, ODI and Test teams. At each level, Chakabva has improved his game and he is maturing into a fine batsman and tidy wicketkeeper.",8.0,45.0,64.0,5.0,1.0,8.0,2.875,0.0,0.0,0.0,0.0,0.0,0.0,5.625,70.3125,57.77777777777777,8.0,0.0,0.0,0.0,0.0
Richard Ngarava,Zimbabwe,Left hand Bat,Left arm Fast medium,Bowler,,5.0,21.0,20.0,0.0,2.0,4.0,9.2,8.0,28.0,168.0,197.0,9.0,89.0,5.25,105.0,57.14285714285714,4.0,21.88888888888889,7.035714285714286,18.666666666666668,52.976190476190474
Richie Berrington,Scotland,Right hand Bat,Right arm Medium fast,Top order Batter,"Richie Berrington powered Scotland to their long-awaited first victory over an ICC Full Member when his century, which was made in only 56 balls and included five sixes, set-up victory over Bangladesh in a T20 international in July 2012",3.0,66.0,56.0,3.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,117.85714285714286,36.36363636363637,18.666666666666668,0.0,0.0,0.0,0.0
Rilee Rossouw,South Africa,Left hand Bat,Right arm Offbreak,Top order Batter,"A stylish top-order player with an elegant and authoritative drive, Rilee Rossouw has been a high-impact batter for South Africa in limited-overs cricket.  ",4.0,141.0,83.0,9.0,9.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,35.25,169.87951807228916,63.829787234042556,20.75,0.0,0.0,0.0,0.0
Rishabh Pant,India,Left hand Bat,,Wicketkeeper Batter,"A match-turning, swashbuckling batter-keeper in the Adam Gilchrist mould, Rishabh Pant has had a starring role in more than a handful of India's biggest Test matches in his first few years in the team.",2.0,9.0,9.0,1.0,0.0,2.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,100.0,44.44444444444444,4.5,0.0,0.0,0.0,0.0
Roelof Van Der Merwe,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder,Tidy left-arm spinner and hard-hitting batter Roelof van der Merwe is one of a small set of cricketers to have represented two international teams.,4.0,5.0,12.0,0.0,0.0,2.0,8.0,6.0,11.0,66.0,75.0,2.0,23.0,2.5,41.66666666666667,0.0,3.0,37.5,6.818181818181818,33.0,34.84848484848485
Rohit Sharma,India,Right hand Bat,Right arm Offbreak,Top order Batter,"Languid and easy on the eye, Rohit Sharma owned all the shots in the book when he emerged from the Mumbai suburbs as heir apparent to the Indian batting greats of the 2000s. It took him time and persistence, but by the 2010s he had become a colossus in white-ball cricket, and the man in charge of perhaps the most formidable league team in the first age of T20.",6.0,116.0,109.0,11.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.333333333333332,106.42201834862387,58.620689655172406,18.166666666666668,0.0,0.0,0.0,0.0
Rovman Powell,West Indies,Right hand Bat,Right arm Medium fast,Middle order Batter,"A middle-order batter who bowls occasional medium pace, Rovman Powell has been a semi-regular presence in West Indies' white-ball squads from the mid-2010s without quite nailing down a spot. ",3.0,39.0,35.0,2.0,2.0,3.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,13.0,111.42857142857143,51.28205128205128,11.666666666666666,0.0,0.0,0.0,0.0
Ruben Trumpelmann,Namibia,Right hand Bat,Left arm Fast,Bowler,,1.0,25.0,24.0,1.0,1.0,0.0,9.0,1.0,4.0,24.0,22.0,0.0,10.0,0.0,104.16666666666667,40.0,24.0,0.0,5.5,0.0,41.66666666666667
Ryan Burl,Zimbabwe,Left hand Bat,Legbreak,Middle order Batter,"Ryan Burl liked playing squash when he was at school, but his love of cricket - specifically, the team game's camaraderie - made him want to be an international cricketer. A left-hand lower-middle-order batter and occasional legspinner, Burl broke into the Zimbabwe side in 2017, and has also played in the BPL and Afghanistan's Shpageeza Cricket League.",7.0,101.0,97.0,11.0,2.0,4.0,7.0,3.0,5.0,30.0,48.0,0.0,6.0,25.25,104.1237113402062,55.44554455445545,13.857142857142858,0.0,9.6,0.0,20.0
Safyaan Sharif,Scotland,Right hand Bat,Right arm Medium fast,Bowler,"Born in Huddersfield, Safyaan Sharif made his debut for Scotland at 20 after eye-catching performances for Dunfermline and Scotland U-19s, and took 4 for 27 against the Netherlands in his first ODI in 2011. With 14 wickets at 23.92 apiece, his fast-medium bowling played an important part in Scotland's success in the World Cup Qualifiers in New Zealand in 2014. ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.6,54.0,78.0,2.0,14.0,0.0,0.0,0.0,0.0,39.0,9.069767441860465,27.0,25.925925925925924
